"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,615744317901645;0,00024997500249975
"Position";"DropTime";"FisherSim";0,52964703529647;0,197478342743032;0,52964703529647
"Position";"BoutDuration";"FisherSim";0,0832916708329167;0,395126766645355;0,092546300925463
"Position";"Device";"FisherSim";9,99900009999e-05;0,931694990624912;0,00024997500249975
"EpochDuration";"DropTime";"FisherSim";0,0056994300569943;0,394606494769518;0,00814204293856329
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,387394001630647;0,00024997500249975
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,775572759476567;0,00024997500249975
"DropTime";"BoutDuration";"FisherSim";0,0002999700029997;0,553760098152096;0,0005999400059994
"DropTime";"Device";"FisherSim";0,0428957104289571;0,410472161002404;0,0536196380361964
"BoutDuration";"Device";"FisherSim";0,0046995300469953;0,41886011165533;0,0078325500783255
